Price,Size,Bedrooms,Year_built,Age,Lot_size,Bathrooms,Distance_to_city_center,Garage
376000.0,1340,3,2008,18,1384,2.0,6.7669424590336975,0
800000.0,3540,4,2007,19,159430,3.25,36.471207096486445,1
2238888.0,7270,5,2010,16,130017,6.5,32.94646561430208,1
324000.0,998,3,2007,19,904,2.25,9.749889569224075,0
549900.0,3060,5,1979,47,7015,2.75,5.7005398758299926,1
320000.0,2130,3,2003,23,6969,2.5,5.6913891291524585,1
875000.0,2520,4,1921,105,6000,2.0,10.937638446522175,1
265000.0,1940,4,1962,64,9533,1.0,9.208904187458726,0
394950.0,1350,3,2006,20,1250,2.5,3.8415768421951437,0
842500.0,2160,4,1902,124,5298,2.5,7.687280130757894,1
368000.0,1370,3,2007,19,1350,2.5,3.879746921562613,0
1225000.0,5420,4,2001,25,101930,4.5,23.988810739289228,1
885000.0,2830,4,1995,31,5000,2.5,6.725886814698102,1
453246.0,2010,3,2014,12,2287,2.5,1.0,1
927000.0,3300,4,1953,73,12090,2.75,2.2432465024609014,1
490000.0,1230,2,2004,22,1391,2.5,3.591337412277082,0
341000.0,1720,3,1952,74,7119,1.5,3.3853066389967283,1
235000.0,810,1,1941,85,2451,1.0,6.4329419977858215,0
1200000.0,1560,3,1928,98,8078,1.75,3.891527773436367,1
560000.0,2560,3,1986,40,216777,2.0,44.118488895994126,1
900000.0,4700,4,1978,48,38412,3.25,17.079346306764663,0
255000.0,1220,2,1910,116,2500,1.0,4.822671098540393,1
1575000.0,3650,5,1975,51,20150,2.75,9.232584614063773,1
876650.0,2170,3,1928,98,12508,3.25,3.227355441359629,1
540000.0,2540,4,1990,36,228254,2.25,49.01765182642445,0
350000.0,910,2,1906,120,4500,1.0,6.232767769129598,1
750000.0,2980,4,2000,26,4930,2.5,2.533019267733091,1
582000.0,2120,4,1951,75,4650,1.75,7.057094055037016,1
1315000.0,3460,4,2004,22,3997,3.5,3.997483930243585,1
372500.0,2480,5,2004,22,10090,3.0,6.1429187506201695,1
410000.0,2200,3,1987,39,16921,2.25,6.57908016331181,1
360000.0,1730,4,1943,83,5500,2.0,11.656834553526814,1
1015000.0,2920,3,1954,72,34527,2.5,11.864908325786198,1
225000.0,990,3,1966,60,8012,1.0,3.429267213132299,1
647000.0,3040,4,1999,27,6887,2.5,8.845034736309566,0
950000.0,4530,5,2003,23,258746,3.0,50.0,1
185000.0,1370,3,1961,65,8470,1.5,7.320590785014266,0
335000.0,1940,3,2004,22,4927,2.5,1.0,1
210000.0,1040,3,2004,22,2643,2.5,1.5440418533047087,1
522000.0,1800,4,1980,46,8623,2.25,7.31518370760737,0
770000.0,1720,3,1954,72,5000,1.75,8.215399739986232,1
499950.0,980,3,1941,85,6380,1.0,6.790104843569911,0
751000.0,3110,4,2004,22,6142,2.5,5.8814551528352785,0
330000.0,2100,5,2013,13,7715,3.0,5.639688913232134,1
465000.0,2020,3,1956,70,11358,1.5,2.8360340288977177,1
850000.0,2350,4,1961,65,11914,1.75,5.223267374815874,1
947500.0,3290,4,1968,58,12329,2.25,6.083883687120637,1
302000.0,2180,5,1986,40,7813,2.25,9.733966678656747,1
500000.0,1290,2,2007,19,1334,2.25,6.297654868705385,1
201000.0,1460,3,1969,57,9750,1.0,1.6608795339117988,1
265000.0,1290,2,2008,18,2828,1.0,6.537851908184384,0
870300.0,2350,4,1910,116,3150,2.5,4.47475315875105,1
339000.0,1080,3,1955,71,8100,1.0,4.589233999082124,1
690000.0,2670,4,1989,37,13463,2.5,9.527628866522605,1
788000.0,3680,4,2003,23,5759,3.25,9.244798567487852,1
315275.0,1440,3,1951,75,8040,1.75,9.401840357348597,1
505000.0,1940,4,1922,104,4800,1.75,3.4423474303320845,0
368000.0,1280,3,1968,58,9898,1.0,6.051962872446356,1
947500.0,2980,3,1917,109,27144,2.75,11.422590294210691,0
156000.0,970,3,1959,67,8580,1.0,9.642635381367079,0
610000.0,2110,4,1930,96,5000,3.0,4.56247728646413,1
420000.0,1480,2,2009,17,1369,2.5,4.716823070008548,0
192000.0,700,2,1953,73,10540,1.0,3.788995077981916,1
910000.0,2700,3,1962,64,6120,2.0,2.635380127757988,1
1300000.0,2330,4,1918,108,9687,3.25,9.374977467182594,0
1346400.0,3380,5,1963,63,20021,1.75,13.07292008571247,0
840000.0,2600,4,1936,90,2750,2.75,5.333969635258998,1
300000.0,1360,2,1975,51,8100,1.75,9.630598693676072,0
505000.0,2780,4,1978,48,6369,2.5,7.358708075142902,0
110000.0,1250,3,1945,81,53143,1.0,13.693240736184627,0
